Mounting Pattern,Ecosystem,Manufacturer,Hotend,Nozzle,MZE compatible,HF nozzle compatible,Block Material,Max temp,Nonstructural heatbreak,Melt zone,Effective melt zone,Filament (mm),Filament paths,Price (USD),CHT price (USD),Still sold,Notes
CC,CC,Elegoo,Centauri Carbon,Proprietary,N,N,Br,350,N,35.5,35.5,,,12,,Y,Proprietary nozzle
Dragon,Chube,Lukes Lab,Chube Compact,V6,Y,Y,Cu,500,Y,38.5,38.5,,,165,15,Y,
Dragon,Chube,Lukes Lab,Chube Air,V6,Y,Y,Cu,500,Y,46,46,,,260,15,Y,
Dragon,Chube,Lukes Lab,Chube Conduction,V6,Y,Y,Cu,500,Y,56,56,,,320,15,Y,
Dragon,Dragon,Phaetus,Dragon ST,V6,Y,Y,Cu,500,Y,18.5,18.5,,,55,15,Y,
Dragon,Dragon,Phaetus,Dragon HF,V6,Y,Y,Cu,500,Y,26,26,,,60,15,Y,
Dragon,Dragon,Phaetus,Dragon Volcano,V6,Y,Y,Cu/Al,500/300,Y,34.5,34.5,,,65,15,Y,"Unofficial, UHF w/o MZE"
Dragon,Dragon,Phaetus,Dragon UHF,V6,Y,Y,Cu/Al,500/300,Y,35.5,35.5,,,65,15,Y,
Dragon,Dragon,Phaetus,Dragon UUHF,V6,N,Y,Cu/Al,500/300,Y,43,43,,,85,15,Y,"Unofficial, UHF w/ HF HB"
Dragon,Dragon,Trianglelab,Dragon V2 SF,V6,Y,Y,Cu,350,Y,18.5,18.5,,,60,15,Y,
Dragon,Dragon,Trianglelab,Dragon V2 HF,V6,Y,Y,Cu,350,Y,26,26,,,65,15,Y,
Dragon,Dragon,Trianglelab,T-Volcano Dragon SF,V6 Volcano,N,Y,Cu,350,Y,27,27,,,67,15,Y,
Dragon,Dragon,Trianglelab,T-Volcano Dragon HF,V6 Volcano,N,Y,Cu,350,Y,34.5,34.5,,,70,15,Y,
Dragon,Dragon,Trianglelab,Dragon Ace,V6,Y,Y,Cu,350,Y,36.2,36.2,,,65,15,Y,
Dragon,Dragon,Trianglelab,Dragon Ace Volcano,V6,N,Y,Cu,500,Y,44.7,44.7,,,75,15,Y,
Dragon,Generic,Generic,TZ2.0-V6,TZ,Y,Y,Cu,350,Y,25.35,25.35,,,12,15,Y,
Dragon,Generic,Generic,TZ2.0-V6 HF (MZE+V6),V6,N,Y,Cu,350,Y,35.65,35.65,,,22,15,Y,MZE+V6 nozzle addition
Lancer,Lancer,Peopoly,Lancer Short,V6 Volcano,N,Y,Al,300,Y,28,28,,,22.5,15,Y,
Lancer,Lancer,Peopoly,Lancer Standard,V6 Volcano,N,Y,Al,300,Y,36.5,36.5,,,30,15,Y,
Lancer,Lancer,Peopoly,Lancer Long,V6 Volcano,N,Y,Al,300,Y,45,45,,,37.5,15,Y,
MK8,MK8,Generic,MK8,MK8,N,Y,Al/Cu,500/300,N,18.8,18.8,,,8,15,Y,
Mosquito,Mosquito,Mellow,NF Crazy,V6,Y,Y,Cu/Al,500/300,Y,18.5,18.5,,,41,15,Y,
Mosquito,Mosquito,Mellow,NF Crazy HF,V6,Y,Y,Cu/Al,500/300,Y,25,25,,,44,15,Y,
Mosquito,Mosquito,Mellow,NF Crazy Volcano,V6 Volcano,N,Y,Cu/Al,500/300,Y,28,28,,,48,15,Y,
Mosquito,Mosquito,Mellow,NF Crazy HF Volcano,V6 Volcano,N,Y,Cu/Al,500/300,Y,34.5,34.5,,,50,15,Y,
Mosquito,Mosquito,Slice Engineering,Mosquito,V6,Y,Y,Cu,500,Y,18.5,18.5,,,150,15,Y,
Mosquito,Mosquito,Slice Engineering,Mosquito Magnum,V6,N,Y,Cu,500,Y,25,25,,,175,15,Y,
Mosquito,Mosquito,Slice Engineering,Mosquito Magnum+,V6,N,Y,Cu,500,Y,38.7,38.7,,,369,15,Y,
Mosquito,Mosquito,Slice Engineering,Mosquito Magnum+ HF,V6,N,Y,Cu,500,Y,45.2,45.2,,,423,15,Y,"Unofficial, UHF w/ HF HB"
Mosquito,Mosquito,Slice Engineering,Mosquito Prime,V6,Y,Y,Cu,500,Y,66.7,76.3,,,1577,15,Y,Built in HF geometry
Dragon,Rapido,Phaetus,Rapido HF,V6,Y,Y,Cu,290,Y,25.5,25.5,,,72,15,Y,
Dragon,Rapido,Phaetus,Rapido UHF,V6,Y,Y,Cu,290,Y,34,34,,,80,15,Y,
Dragon,Rapido,Trianglelab,Rapido ACE HF,V6,Y,Y,Cu,350,Y,35,35,,,63,15,Y,
Dragon,Rapido,Trianglelab,Rapido ACE UHF,V6,Y,Y,Cu,350,Y,43.4,43.4,,,78,15,Y,
Revo,Revo,E3D,Revo,Revo,N,Y,Br/Cu,300/500,N,19.6,19.6,,,95,20,Y,Proprietary Revo nozzle
A3DP,Takoto,A3DP,HE20,V6,Y,Y,Al,300,Y,26,26,,,160,15,Y,
A3DP,Takoto,A3DP,HE50,V6,Y,Y,Al,300,Y,53,53,,,210,15,Y,
Groove,V6,E3D,V6,V6,Y,Y,Al/Cu,300/500,N,17.5,17.5,,,75,15,Y,Official product
